cluster,gene,cells_in_cluster,mean_in_cluster,mean_outside_cluster,t_statistic,p_value,fdr,mean_log2_difference
14,APOD,491,9.257712,1.3378022,90.547424,2.2250738585072014e-308,5.489969814290644e-308,7.9199104
14,SERPINE2,491,9.0709,1.5368949,112.78815,2.2250738585072014e-308,5.489969814290644e-308,7.534005
14,MIA,491,8.2848625,0.9503673,101.24793,2.2250738585072014e-308,5.489969814290644e-308,7.334495
14,PMEL,491,8.830382,2.0152369,67.75885,2.2250738585072014e-308,5.489969814290644e-308,6.8151455
14,TYR,491,7.8096256,1.1859742,87.98793,2.2250738585072014e-308,5.489969814290644e-308,6.6236515
14,S100B,491,8.040401,1.6741362,96.95676,2.2250738585072014e-308,5.489969814290644e-308,6.3662653
14,SERPINA3,491,6.824758,0.5403818,51.89448,2.2250738585072014e-308,5.489969814290644e-308,6.284376
14,A2M,491,7.1388793,1.0111283,86.204506,2.2250738585072014e-308,5.489969814290644e-308,6.127751
14,MT2A,491,8.806334,2.7600405,81.90021,2.2250738585072014e-308,5.489969814290644e-308,6.0462933
14,LGALS3,491,8.204727,2.3566408,94.1365,2.2250738585072014e-308,5.489969814290644e-308,5.8480864
15,CDK4,56,8.612405,1.7134956,82.70238,2.2250738585072014e-308,2.507359348019309e-307,6.898909
15,PWP1,56,6.8201933,1.45572,55.999214,2.2250738585072014e-308,2.507359348019309e-307,5.3644733
15,CYC1,56,6.4586363,1.8927224,34.878746,2.2250738585072014e-308,2.507359348019309e-307,4.565914
15,GPNMB,56,6.3784375,1.9181772,37.40689,2.2250738585072014e-308,2.507359348019309e-307,4.4602604
15,DNAJB6,56,6.262605,2.1418762,35.991737,2.2250738585072014e-308,2.507359348019309e-307,4.120729
15,C17orf76-AS1,56,8.484035,4.783475,46.274647,2.2250738585072014e-308,2.507359348019309e-307,3.7005596
15,NME2,56,7.1951003,3.6516585,29.51765,2.2250738585072014e-308,2.507359348019309e-307,3.5434418
15,TPI1,56,7.5922966,4.2323003,36.147564,2.2250738585072014e-308,2.507359348019309e-307,3.3599963
15,SET,56,6.3417616,3.498826,34.390923,2.2250738585072014e-308,2.507359348019309e-307,2.8429356
15,EEF1B2,56,8.30007,5.6550655,28.010227,2.2250738585072014e-308,2.507359348019309e-307,2.6450043
16,PMEL,119,10.173212,2.5400782,65.422554,2.2250738585072014e-308,8.95963073692233e-308,7.633134
16,DCT,119,8.080571,0.6573761,54.110672,2.2250738585072014e-308,8.95963073692233e-308,7.423195
16,IFI27,119,7.5073824,1.3911922,52.83487,2.2250738585072014e-308,8.95963073692233e-308,6.11619
16,GSTP1,119,9.456537,3.4760678,71.67665,2.2250738585072014e-308,8.95963073692233e-308,5.9804697
16,TYR,119,7.539537,1.7374858,53.840836,2.2250738585072014e-308,8.95963073692233e-308,5.802051
16,MLANA,119,7.69581,2.2988846,63.79617,2.2250738585072014e-308,8.95963073692233e-308,5.396925
16,S100B,119,7.601518,2.2089307,34.500916,2.2250738585072014e-308,8.95963073692233e-308,5.3925877
16,LGALS1,119,8.388212,3.2102163,62.154583,2.2250738585072014e-308,8.95963073692233e-308,5.1779957
16,QPCT,119,5.946367,1.0634564,36.995125,2.2250738585072014e-308,8.95963073692233e-308,4.8829103
16,GPNMB,119,6.556456,1.8514117,58.245876,2.2250738585072014e-308,8.95963073692233e-308,4.7050443
17,PMEL,119,9.2220955,2.5650845,31.555193,2.2250738585072014e-308,1.0803413267993164e-307,6.657011
17,APOD,119,7.998122,2.0218675,41.49745,2.2250738585072014e-308,1.0803413267993164e-307,5.9762545
17,PRAME,119,7.2422986,1.475826,80.66426,2.2250738585072014e-308,1.0803413267993164e-307,5.766473
17,QPCT,119,6.6797733,1.0441735,48.176514,2.2250738585072014e-308,1.0803413267993164e-307,5.6356
17,S100B,119,7.5748143,2.2096322,47.387333,2.2250738585072014e-308,1.0803413267993164e-307,5.365182
17,CTSK,119,5.9855237,1.0483285,22.01635,2.2250738585072014e-308,1.0803413267993164e-307,4.9371953
17,PTTG1IP,119,7.020031,2.1583858,64.1225,2.2250738585072014e-308,1.0803413267993164e-307,4.861645
17,CAPN3,119,6.36763,1.5332527,43.891453,2.2250738585072014e-308,1.0803413267993164e-307,4.8343773
17,LGALS3,119,7.5836797,2.853636,37.78181,2.2250738585072014e-308,1.0803413267993164e-307,4.7300434
17,DCT,119,5.335277,0.7295566,26.00999,2.2250738585072014e-308,1.0803413267993164e-307,4.6057205
