gene,mean,variance,detected_fraction
POLR2J,1.8714098930358887,4.589433670043945,0.4908503767491927
ARRDC3,1.7307019233703613,4.588509559631348,0.4936490850376749
TSC22D1,1.424416184425354,4.588186264038086,0.3573735199138859
AKR1A1,1.432005763053894,4.5839619636535645,0.35091496232508074
IVNS1ABP,1.903093695640564,4.583310127258301,0.5392895586652314
PARVG,1.2946277856826782,4.580352783203125,0.3194833153928956
CDK5RAP3,2.0101962089538574,4.579380989074707,0.5433799784714747
NARF,1.537127137184143,4.579108238220215,0.40279870828848224
G3BP1,1.8904647827148438,4.578774452209473,0.5343379978471474
TMEM243,1.361146092414856,4.577794075012207,0.33907427341227125
IP6K2,1.5284843444824219,4.572210788726807,0.40043057050592035
TMBIM4,2.7155489921569824,4.571942329406738,0.7778256189451023
LOC541471,1.443711519241333,4.571940898895264,0.355005382131324
C1orf63,1.663825511932373,4.571431636810303,0.4441334768568353
NOP58,2.1727914810180664,4.571165084838867,0.6157158234660925
IGSF8,1.42742121219635,4.570182800292969,0.356297093649085
NGFRAP1,1.4295438528060913,4.566206932067871,0.33390742734122714
RANBP1,1.4965282678604126,4.5660810470581055,0.37029063509149623
ECHS1,1.407268762588501,4.565122127532959,0.34058127018299245
HNRNPK,4.749764442443848,4.563460350036621,0.9016146393972013
SEC22B,2.0039443969726562,4.562742233276367,0.5502691065662002
TSPAN3,1.741834282875061,4.562188148498535,0.4536060279870829
UGP2,1.566009283065796,4.556293487548828,0.42260495156081807
C16orf13,1.47600257396698,4.553855895996094,0.35651237890204523
RGS10,1.4614413976669312,4.550815105438232,0.3638320775026911
ACADVL,1.6583784818649292,4.544068813323975,0.4488697524219591
ZMYM6NB,1.2736167907714844,4.541033744812012,0.2977395048439182
GPR56,1.5171942710876465,4.540701866149902,0.46458557588805166
NAA10,1.5364073514938354,4.539575576782227,0.381270182992465
EXOC4,1.6856763362884521,4.537083148956299,0.4604951560818084
COPG1,1.5737391710281372,4.533653259277344,0.4288482238966631
IFI27L2,1.407423734664917,4.533501148223877,0.3317545748116254
ITGAL,1.7335927486419678,4.53072452545166,0.6596340150699677
TINF2,1.2991746664047241,4.527571678161621,0.323789020452099
PGLS,1.4100205898284912,4.525906562805176,0.33993541442411196
NDUFA6,1.8701714277267456,4.525711536407471,0.4874058127018299
GBP5,1.4944019317626953,4.522124290466309,0.5840688912809473
NDUFC1,1.7405846118927002,4.522053241729736,0.44198062432723356
WSB1,2.715869665145874,4.521166801452637,0.8092572658772874
CDK4,1.796669840812683,4.516911029815674,0.542518837459634
OAZ1,5.938378810882568,4.516077995300293,0.9214208826695371
ARHGAP30,1.384334921836853,4.515429973602295,0.36490850376749195
RASSF1,1.2542552947998047,4.514702320098877,0.31840688912809473
PWP1,1.5203936100006104,4.512746334075928,0.3978471474703983
SRPR,1.7527834177017212,4.5097432136535645,0.48568353067814857
CRIP2,1.1145439147949219,4.509721279144287,0.24456404736275564
ST6GAL1,1.6740810871124268,4.506123065948486,0.4977395048439182
CD320,1.2610960006713867,4.504481792449951,0.2897739504843918
GBP1,1.2836487293243408,4.504310131072998,0.3377825618945102
REEP5,1.9698399305343628,4.50404167175293,0.5276641550053821
NDUFB11,1.9508594274520874,4.50369119644165,0.4983853606027987
PTTG1,1.1698510646820068,4.502706527709961,0.26458557588805165
UQCR11,2.625089645385742,4.50192928314209,0.6594187298170076
RNF19A,1.801896572113037,4.496564865112305,0.5532831001076426
ABHD14B,1.5922385454177856,4.496069431304932,0.41743810548977395
CD4,1.022923469543457,4.496025562286377,0.2238966630785791
PSMD7,1.6780133247375488,4.494287490844727,0.44477933261571584
FAM162A,1.3804618120193481,4.493860244750977,0.33347685683530676
CTTN,1.4775817394256592,4.489871501922607,0.3745963401506997
CD55,1.8001387119293213,4.4895477294921875,0.5257265877287406
CXCR3,0.9482803344726562,4.488409042358398,0.18751345532831
AGTRAP,1.2472797632217407,4.487646102905273,0.2902045209903122
CCDC12,1.3428373336791992,4.486592769622803,0.3263724434876211
TFG,1.4751347303390503,4.48367166519165,0.37351991388589884
ZNHIT1,1.745627522468567,4.481963157653809,0.4454251883745963
GZMM,0.9634294509887695,4.481731414794922,0.19009687836383207
NOSIP,1.300405502319336,4.478542804718018,0.3416576964477933
TAX1BP1,2.3521878719329834,4.474416255950928,0.6340150699677072
CLPP,1.334050178527832,4.474285125732422,0.32163616792249733
PMP22,1.228921890258789,4.473416328430176,0.2783638320775027
SP140,1.2276095151901245,4.473398685455322,0.3076426264800861
DNAJC7,1.6359107494354248,4.4718546867370605,0.43767491926803015
NR4A1,1.3324108123779297,4.47103214263916,0.3627556512378902
CD59,1.6608175039291382,4.470723628997803,0.5041980624327234
COPB1,1.787226915359497,4.468214511871338,0.516254036598493
CXCR6,0.7862766981124878,4.465897560119629,0.14553283100107642
IMP4,1.277424931526184,4.463626861572266,0.29903121636167923
TMEM109,1.792409062385559,4.462605953216553,0.4813778256189451
FERMT3,1.1611616611480713,4.4606242179870605,0.27728740581270184
NDUFB6,1.71273934841156,4.459808826446533,0.4365984930032293
NUDC,2.3297009468078613,4.458867073059082,0.7250807319698601
SSU72,1.5314205884933472,4.456445217132568,0.4092572658772874
SRSF5,4.27654504776001,4.456099987030029,0.8684607104413348
NSMCE1,1.368728518486023,4.455687522888184,0.3326157158234661
SNX3,1.4743127822875977,4.451178073883057,0.3767491926803014
SDHAF2,1.4589433670043945,4.447391033172607,0.37115177610333694
PCNA,1.1906604766845703,4.446177005767822,0.27771797631862216
SAMSN1,1.1035345792770386,4.444500923156738,0.27879440258342303
DCTN2,1.484272837638855,4.443706035614014,0.40430570505920344
ATP5L,2.9754226207733154,4.443517208099365,0.722497308934338
UBE2V1,2.2280430793762207,4.442220211029053,0.6542518837459634
ARHGAP25,1.2497825622558594,4.44074010848999,0.3255113024757804
COX17,1.514340877532959,4.4362921714782715,0.37244348762109797
AMD1,1.6156339645385742,4.435936450958252,0.4671689989235737
ANP32E,1.7880374193191528,4.434518814086914,0.5115177610333692
TMEM173,1.3555469512939453,4.434494972229004,0.35694294940796556
HMOX2,1.4929836988449097,4.430515766143799,0.42540365984930034
MRPS7,1.4587470293045044,4.429236888885498,0.3634015069967707
ANKRD36BP1,1.8141775131225586,4.428005695343018,0.5345532831001076
RAB1A,1.9220187664031982,4.427823066711426,0.5196986006458557
FAM96A,1.4328761100769043,4.42611026763916,0.3573735199138859
MRPL37,1.4355660676956177,4.420884132385254,0.3653390742734123
FAM195B,1.516350269317627,4.419708251953125,0.37825618945102263
PSMD14,1.3844341039657593,4.418440341949463,0.35457481162540366
SARNP,1.397725224494934,4.417110443115234,0.3506996770721206
MRPL3,1.4176143407821655,4.41551399230957,0.3590958019375673
CDC123,1.4082328081130981,4.414663314819336,0.3539289558665231
PPCS,1.5206007957458496,4.413824558258057,0.3976318622174381
CAV1,1.3597935438156128,4.40979528427124,0.33433799784714746
APLP2,1.6174185276031494,4.404879093170166,0.4469321851453176
ANKRD10,2.2199599742889404,4.404530048370361,0.6714747039827772
POMP,2.169508218765259,4.403629779815674,0.5838536060279871
C11orf31,2.424208402633667,4.403181076049805,0.6622174381054897
ELF1,2.0657360553741455,4.4012603759765625,0.6215285252960172
SP100,3.605053424835205,4.400879859924316,0.9560818083961249
TMEM9B,1.356762409210205,4.398857116699219,0.3455328310010764
LSM10,1.2482954263687134,4.397996425628662,0.291280947255113
PSTPIP1,1.0611900091171265,4.395815372467041,0.238751345532831
RHOF,1.6948771476745605,4.392849445343018,0.6256189451022605
PFDN1,1.3887940645217896,4.391434669494629,0.3558665231431647
EIF2S3,3.4744067192077637,4.391075134277344,0.8848223896663079
DUSP4,1.7725343704223633,4.387864112854004,0.5018299246501615
IGFBP7,0.9485457539558411,4.387720584869385,0.20301399354144242
PFKP,1.4820915460586548,4.387279033660889,0.3976318622174381
CCT5,1.6793495416641235,4.387205123901367,0.4503767491926803
BTG1,2.9714035987854004,4.383577346801758,0.8148546824542519
